Year,Age,Gender_num,qx,Gender,GDP_Per_Capita,Inflation_Rate,Healthcare_GDP_Pct,PM25_Exposure,Alcohol_Per_Capita,Unemp_Rate
2011,1,0,2e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,1,0,4.1e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,1,0,4.2e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,1,0,2.8e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,1,0,6.4e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,1,0,3.5e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,1,0,1.4e-4,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,1,0,2.9e-4,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,1,0,2.3e-4,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,1,0,1.6e-4,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,1,0,9e-5,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,1,0,2.5e-4,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,1,0,9e-5,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,1,0,2.8e-4,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,2,0,4e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,2,0,4e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,2,0,4.2e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,2,0,2.6e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,2,0,4.2e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,2,0,3.6e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,2,0,6.4e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,2,0,1.4e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,2,0,2.9e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,2,0,4.3e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,2,0,3.5e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,2,0,3.3e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,2,0,1.3e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,2,0,7e-5,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,2,0,7e-5,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,2,0,3.5e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,2,0,1.4e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,2,0,7e-5,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,2,0,7e-5,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,2,0,7e-5,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,2,0,2.2e-4,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,2,0,3.1e-4,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,2,0,2.5e-4,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,2,0,8e-5,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,2,0,3.4e-4,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,3,0,4.9e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,3,0,3.4e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,3,0,4.6e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,3,0,6.6e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,3,0,3.3e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,3,0,2.1e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,3,0,3.6e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,3,0,0,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,3,0,3.6e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,3,0,2.2e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,3,0,3.6e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,3,0,1.4e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,3,0,7e-5,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,3,0,2e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,3,0,2.7e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,3,0,2.1e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,3,0,7e-5,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,3,0,2.9e-4,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,3,0,1.4e-4,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,3,0,7e-5,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,3,0,7e-5,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,3,0,1.5e-4,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,3,0,1.5e-4,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,3,0,2.4e-4,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,3,0,8e-5,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,4,0,2.1e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,4,0,4.9e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,4,0,2.3e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,4,0,1.2e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,4,0,3e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,4,0,7e-5,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,4,0,3.6e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,4,0,3.7e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,4,0,1.4e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,4,0,2.2e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,4,0,2.2e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,4,0,2.2e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,4,0,0,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,4,0,2.7e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,4,0,1.3e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,4,0,1.4e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,4,0,2.1e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,4,0,0,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,4,0,7e-5,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,4,0,1.4e-4,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,4,0,1.4e-4,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,4,0,7e-5,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,4,0,2.2e-4,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,4,0,2.2e-4,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,4,0,0,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,5,0,1e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,5,0,1.1e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,5,0,2.2e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,5,0,1.7e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,5,0,4.7e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,5,0,3.1e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,5,0,1.3e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,5,0,2.2e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,5,0,5.2e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,5,0,1.5e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,5,0,0,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,5,0,1.5e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,5,0,3e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,5,0,2.2e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,5,0,1.4e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,5,0,1.3e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,5,0,1.4e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,5,0,1.4e-4,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,5,0,7e-5,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,5,0,7e-5,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,5,0,0,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,5,0,7e-5,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,5,0,1.4e-4,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,5,0,7e-5,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,5,0,3e-4,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,6,0,1.9e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,6,0,1e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,6,0,5e-5,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,6,0,1.1e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,6,0,3.5e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,6,0,3e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,6,0,2.5e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,6,0,3.3e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,6,0,7e-5,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,6,0,0,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,6,0,2.2e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,6,0,0,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,6,0,2.3e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,6,0,2.3e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,6,0,1.5e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,6,0,2.1e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,6,0,1.4e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,6,0,7e-5,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,6,0,1.5e-4,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,6,0,7e-5,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,6,0,7e-5,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,6,0,2.1e-4,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,6,0,7e-5,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,6,0,2.7e-4,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,6,0,3.5e-4,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,7,0,2.1e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,7,0,5e-5,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,7,0,3.1e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,7,0,1.1e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,7,0,1.7e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,7,0,6e-5,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,7,0,1.8e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,7,0,1.9e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,7,0,1.3e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,7,0,7e-5,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,7,0,3.8e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,7,0,8e-5,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,7,0,2.3e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,7,0,3.9e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,7,0,1.5e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,7,0,7e-5,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,7,0,2.8e-4,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,7,0,1.4e-4,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,7,0,0,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,7,0,7e-5,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,7,0,0,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,7,0,0,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,7,0,0,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,7,0,0,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,7,0,0,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,8,0,2.7e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,8,0,2.5e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,8,0,1.9e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,8,0,2e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,8,0,5e-5,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,8,0,1.7e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,8,0,1.8e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,8,0,1.8e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,8,0,1.3e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,8,0,7e-5,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,8,0,1.5e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,8,0,1.5e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,8,0,8e-5,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,8,0,8e-5,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,8,0,1.6e-4,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,8,0,8e-5,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,8,0,0,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,8,0,1.4e-4,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,8,0,1.4e-4,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,8,0,2.1e-4,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,8,0,0,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,8,0,2.9e-4,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,8,0,0,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,8,0,7e-5,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,8,0,7e-5,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,9,0,1.2e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,9,0,1.2e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,9,0,1.7e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,9,0,1.9e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,9,0,1e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,9,0,5e-5,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,9,0,2.2e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,9,0,1.8e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,9,0,1.8e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,9,0,2.5e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,9,0,0,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,9,0,2.2e-4,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,9,0,1.5e-4,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,9,0,3.1e-4,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,9,0,0,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,9,0,2.3e-4,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,9,0,8e-5,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,9,0,0,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,9,0,7e-5,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,9,0,3.5e-4,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,9,0,1.4e-4,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,9,0,0,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,9,0,7e-5,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,9,0,0,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,9,0,7e-5,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,10,0,1.5e-4,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,10,0,1.9e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,10,0,2.4e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,10,0,2.1e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,10,0,1.4e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,10,0,1.6e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,10,0,1.6e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
